År,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EA,EA12,EA19,EA20,EE,EL,ES,EU15,EU27,EU28,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK,NO SSB,NOf,US,0%,1%,2%,3%,4%
1976-12-31,,,,,,,,,,-0.5394139996785423,,,,,,,,,,,,-0.5145026537483526,,,,,,,,,,,,,,-0.7351124003563969,,,,,,,,,,,,,-0.5870466977804432,0.0,-0.2800000000000001,-0.5600000000000002,-0.84,-1.1200000000000003
1977-12-31,,,,,,,,,,-0.5229238626637756,,,,,,,,,,,,-0.4833727431428212,,,,,,,,,,,,,,-0.6985925623477183,,,,,,,,,,,,,-0.5518297242331345,0.0,-0.2700000000000001,-0.5400000000000001,-0.81,-1.0800000000000003
1978-12-31,,,,,,,,,,-0.5021377796624051,,,,,,,,,,,,-0.4492633537447128,,,,,,,,,,,,,,-0.6643976383922343,,,,,,,,,,,,,-0.5083439616956023,0.0,-0.26000000000000006,-0.5200000000000001,-0.78,-1.0400000000000003
1979-12-31,,,,,,,,,,-0.4649394322492526,,,,,,,,,,,,-0.4175159068751171,,,,,,,,,,,,,,-0.6251613923226724,,,,,,,,,,,,,-0.48854173180153637,0.0,-0.25000000000000006,-0.5000000000000001,-0.75,-1.0000000000000002
1980-12-31,,,,,,,,,,-0.4737379991549293,,,,,,,,,,,-0.5507337264761949,-0.406381556469225,,,,,,,,,,,,,,-0.5836291008607937,,,,,,,,,,,,,-0.5027996765708167,0.0,-0.24000000000000005,-0.4800000000000001,-0.72,-0.9600000000000002
1981-12-31,,,,,,,,,,-0.4806520655083055,,,,,,,,,,,-0.5417606197239238,-0.3998864098167374,,,,,,,,,,,,,,-0.5712450451572764,,,,,,,,,,,,,-0.4876592205291086,0.0,-0.23000000000000004,-0.4600000000000001,-0.69,-0.9200000000000002
1982-12-31,,,,,,,,,,-0.4418491249138823,,,,,,,,,,,-0.5165054377159537,-0.38095236159393675,,,,,,,,,,,,,,-0.5725144974924987,,,,,,,,,,,,,-0.5153890870010436,0.0,-0.22000000000000003,-0.44000000000000006,-0.6599999999999999,-0.8800000000000001
1983-12-31,,,,,,,,,,-0.41482022483206826,,,,,,,,,,,-0.49250730487438776,-0.373832370397019,,,,,,,,,,,,,,-0.536728744623165,,,,,,,,,,,,,-0.47948709541962664,0.0,-0.21000000000000008,-0.42000000000000015,-0.6299999999999999,-0.8400000000000003
1984-12-31,,,,,,,,,,-0.3717647056077773,,,,,,,,,,,-0.46576012176739034,-0.3626069448869105,,,,,,,,,,,,,,-0.48090048697641485,,,,,,,,,,,,,-0.41844709391172863,0.0,-0.20000000000000007,-0.40000000000000013,-0.6000000000000001,-0.8000000000000003
1985-12-31,,,,,,,,,,-0.3313974043470598,,,,,,,,,,,-0.4351750680442992,-0.3522446885001562,,,,,,,,,,,,,,-0.42998643548801674,,,,,,,,,,,,,-0.3865277546097232,0.0,-0.19000000000000006,-0.3800000000000001,-0.5700000000000001,-0.7600000000000002
1986-12-31,,,,,,,,,,-0.28642391037039694,,,,,,,,,,,-0.41176490434040947,-0.3340181355993401,,,,,,,,,,,,,,-0.39371160440589925,,,,,,,,,,,-0.3949561677375133,-0.30882534583091825,-0.3615788012473047,0.0,-0.18000000000000005,-0.3600000000000001,-0.54,-0.7200000000000002
1987-12-31,,,,,,,,,,-0.28333388406154114,,,,,,,,,,,-0.37895837121212406,-0.31364079212738893,,,,,,,,,,,,,,-0.3811152846537933,,,,,,,,,,,-0.3817115734591052,-0.301177259526634,-0.33650858180434184,0.0,-0.17000000000000004,-0.3400000000000001,-0.51,-0.6800000000000002
1988-12-31,,,,,,,,,,-0.2810606260510857,,,,,,,,,,,-0.33108062250931525,-0.2721668913547637,,,,,,,,,,,,,,-0.3888954826682234,,,,,,,,,,,-0.38861316748030106,-0.31914283123301246,-0.3046764362371439,0.0,-0.16000000000000003,-0.32000000000000006,-0.48,-0.6400000000000001
1989-12-31,,,,,,,,,,-0.2745194276887597,,,,,,,,,,,-0.2851677634814589,-0.23510767467448002,,,,,,,,,,,,,,-0.3828167691261726,,,,,,,,,,,-0.38323525589689034,-0.33923312388476745,-0.2781007411900065,0.0,-0.15000000000000008,-0.30000000000000016,-0.44999999999999996,-0.6000000000000003
1990-12-31,,,,,,,,,,-0.259696693555159,,,,,,,,,,,-0.2829144656750451,-0.21231785206600584,,,,,,,,,,,,,,-0.36702962626062785,,,,,,,,,,,-0.3680977006468922,-0.3323470349574116,-0.27070712479383463,0.0,-0.14000000000000007,-0.28000000000000014,-0.41999999999999993,-0.5600000000000003
1991-12-31,,,,,,,,,-0.15152476856792596,-0.24792141180290805,,,,,,,,,,,-0.3485681242259462,-0.2053158627241931,,,,,,,,,,,,,,-0.34157445684400933,,,,,,,,,,,-0.34060711420493206,-0.32036154741903466,-0.2850346383856106,0.0,-0.13000000000000006,-0.2600000000000001,-0.3900000000000001,-0.5200000000000002
1992-12-31,,,,,,,,,-0.13810366978092148,-0.23115360445689426,,,,,,,,,,,-0.3879153049524193,-0.19500284877888507,,,,,,,,,,,,,,-0.3120691263080495,,,,,,,,,,,-0.31178817642546797,-0.30125303651225543,-0.26370210552063256,0.0,-0.12000000000000005,-0.2400000000000001,-0.3600000000000001,-0.4800000000000002
1993-12-31,,,,,,,,,-0.15336693249533884,-0.23551434463839804,,,,,,,,,,,-0.40067658250777605,-0.20264126607081323,,,,,,,,,,,,,,-0.2900669934970921,,,,,-0.31869883356820505,,,,,,-0.2896371043402617,-0.2802785523801514,-0.24955202549850775,0.0,-0.11000000000000004,-0.22000000000000008,-0.33000000000000007,-0.44000000000000017
1994-12-31,,,,,,,,,-0.1302246621505132,-0.18706622642631565,,,,,,,,,,,-0.36649887796681035,-0.1829242191609497,,,,,,,,,,,,,,-0.24653254396955404,,,,,-0.28740153250330813,,,,,,-0.24643022106784152,-0.25040408012198156,-0.2221684712326022,0.0,-0.10000000000000003,-0.20000000000000007,-0.30000000000000004,-0.40000000000000013
1995-12-31,,-0.18284275368685243,,-0.18685351243091652,-0.1916961186380748,-0.10617593266233882,-0.2423250230618681,-0.21853854247082793,-0.11711868827773309,-0.1618387918271953,-0.14817726998705272,-0.1634908189856823,-0.16891907623163593,-0.1707652147340788,-0.6249162639423549,-0.32710927395386147,-0.24608695901618471,-0.18078686104683062,-0.18985887288780035,-0.200143701242669,-0.3283487585794873,-0.16355044640221905,-0.4146829471722109,-0.336451047364303,-0.5321960260712464,-0.3129285764256302,-0.12540405834575807,,-0.5874905064259317,-0.2933417888270693,-0.65538668356665,,,,-0.2057214757905541,-0.21091024341977516,-0.3752367966022554,-0.19073142517372066,-0.2603573414019138,-0.647358432101611,-0.25236683491709666,-0.3276865887915177,-0.34868137140535627,,-0.2479160232359714,,-0.21132738040879673,-0.22291643240912862,-0.2075092809322321,0.0,-0.09000000000000008,-0.18000000000000016,-0.27,-0.3600000000000003
