År,AL,AT,BE,BG,CH,CY,CZ,DE,DK,EA,EA12,EA19,EA20,EE,EEA,EL,ES,EU,EU15,EU27,EU28,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK,NO SSB,NOf,US,0%,1%,2%,3%,4%
1968-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.3600000000000001,-0.7200000000000002,-1.08,-1.4400000000000004
1969-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.3500000000000001,-0.7000000000000002,-1.05,-1.4000000000000004
1970-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.3400000000000001,-0.6800000000000002,-1.02,-1.3600000000000003
1971-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.33000000000000007,-0.6600000000000001,-0.99,-1.3200000000000003
1972-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.32000000000000006,-0.6400000000000001,-0.96,-1.2800000000000002
1973-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.31000000000000005,-0.6200000000000001,-0.9299999999999999,-1.2400000000000002
1974-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.30000000000000004,-0.6000000000000001,-0.9,-1.2000000000000002
1975-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.29000000000000004,-0.5800000000000001,-0.87,-1.1600000000000001
1976-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.2800000000000001,-0.5600000000000002,-0.84,-1.1200000000000003
1977-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.2700000000000001,-0.5400000000000001,-0.81,-1.0800000000000003
1978-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.26000000000000006,-0.5200000000000001,-0.78,-1.0400000000000003
1979-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.25000000000000006,-0.5000000000000001,-0.75,-1.0000000000000002
